"ringnr","y_adjusted","n_obs","y_mean","O_HOM","E_HOM","N_SITES","F_hat","locality"
"8L30783",0.235349006845708,8,32.1625,44415,43350,64815,0.00969473295752491,"27"
"8L30784",0.124465544828318,1,32.5,43861,43310,64755,-0.0142052670424751,"27"
"8L30807",-1.29567325708681,1,28.5,44001,43350,64811,-0.00951526704247509,"23"
"8L30809",-0.31854467600016,1,31.4,44131,43300,64739,-0.00110526704247509,"24"
"8L30813",-0.55708927669626,1,30.4,47190,43300,64740,0.141534732957525,"35"
"8L30819",-0.40503435875495,1,30.8,43844,43320,64769,-0.0154852670424751,"24"
"8L30829",-2.19696138848689,2,28.7,44113,43330,64784,-0.00339526704247509,"24"
"8L30832",-0.562323947146101,1,31,43481,43160,64535,-0.0250352670424751,"24"
"8L30847",-0.43425343377699,7,31.5714285714286,43794,43330,64790,-0.0183852670424751,"27"
"8L30848",-0.368131934353158,1,30.5,43711,43340,64793,-0.0223952670424751,"24"
"8L30851",1.6454327515438,1,35,43753,43250,64646,-0.0161652670424751,"23"
"8L30859",-0.00468485762068967,1,31.5,44822,43320,64767,0.0301447329575249,"35"
"8L30876",-1.53799603068602,1,28.4,44940,43330,64786,0.0351347329575249,"22"
"8L30882",0.11926169819086,4,32.075,43769,43340,64793,-0.0197952670424751,"26"
"8L30890",-0.0823585129393747,3,32.2666666666667,44662,43210,64581,0.0281147329575249,"27"
"8L30898",-1.0158961323693,1,30,44767,43350,64816,0.0260347329575249,"27"
"8L30899",0.853491239346144,1,32.9,43512,43360,64829,-0.0327602670424751,"60"
"8L30900",0.395343568836194,1,32,43892,43360,64828,-0.0150952670424751,"60"
"8L30917",-1.80593504796111,1,28,46588,43240,64658,0.116334732957525,"23"
"8L30920",1.75827873118907,6,34.95,44793,43340,64790,0.0280647329575249,"20"
"8L30922",0.0880359886147437,5,32.92,44965,43340,64792,0.0359547329575249,"20"
"8L30947",-0.430972686548047,3,31.2,43279,43340,64789,-0.0425502670424751,"23"
"8L30963",-1.17720797906865,1,29.5,43221,43230,64624,-0.0401702670424751,"23"
"8L30972",-1.4223417661676,2,29.75,44402,43290,64716,0.0120347329575249,"35"
"8L30984",-0.932586131734732,2,30.9,47233,43270,64686,0.145334732957525,"35"
"8L48304",0.29046232238794,7,32.4571428571429,43022,43230,64628,-0.0496642670424751,"27"
"8L48310",2.62893027079566,1,37.7,44057,43360,64827,-0.00741526704247509,"27"
"8L48311",0.0917819214602105,3,32.3666666666667,43648,43240,64651,-0.0209152670424751,"27"
"8L48312",-0.426493815651038,3,31.1,44113,43370,64847,-0.00545526704247509,"27"
"8L48313",-0.236413557391393,4,31.75,43435,43330,64772,-0.0349142670424751,"27"
"8L48314",-2.18469622415317,2,28.5,44284,43370,64836,0.00285473295752491,"27"
"8L48315",0.400370830078733,3,32.6666666666667,44157,43350,64808,-0.00223526704247509,"27"
"8L48318",-1.81827062494323,2,29.5,44403,43380,64851,0.00793473295752491,"27"
"8L48319",-1.33013556093467,2,29.8,43673,43090,64411,-0.0123052670424751,"26"
"8L48320",-1.27355485275081,1,28.6,44000,43200,64582,-0.00233526704247509,"30"
"8L48323",-0.948843082669432,10,30.94,44729,43340,64797,0.0248047329575249,"26"
"8L48334",-1.13769256040301,2,30.05,46202,43300,64736,0.0954347329575249,"28"
"8L48336",2.21352692185998,6,34.5333333333333,43523,43310,64747,-0.0298152670424751,"27"
"8L48344",-1.39855966311879,1,29.5,43742,43280,64708,-0.0185252670424751,"20"
"8L48365",-1.1271392150285,1,29.5,44283,43360,64825,0.00308473295752491,"27"
"8L48399",1.0255794855427,1,34.8,44456,43330,64787,0.0124147329575249,"20"
"8L48410",1.34545110710514,1,35.2,44400,43350,64808,0.00923473295752491,"27"
"8L48415",-1.9268803873713,3,28.9333333333333,43841,43330,64779,-0.0159252670424751,"33"
"8L48418",0.486326541382551,3,32.9333333333333,44512,43360,64834,0.0136347329575249,"27"
"8L48421",0.253623490792953,1,31.9,44590,43330,64775,0.0190947329575249,"33"
"8L48425",-0.973127401486467,2,30.35,43942,43310,64740,-0.0101852670424751,"33"
